Brand,Description,SalePrice,OriginalPrice
3.1 PHILLIP LIM,Top,173.2058823529412,415.88235294117646
3x1,Top,115.375,231.0
7 FOR ALL MANKIND,Top,109.125,231.25
A.L.C.,Top,148.68421052631578,324.4736842105263
A.W.A.K.E.,Top,213.33333333333334,423.3333333333333
ACNE STUDIOS,Top,155.3,332.5
ADAM LIPPES,Top,289.8695652173913,644.1304347826087
ADEAM,Top,330.09090909090907,671.3636363636364
ADIDAS ORIGINALS,Top,39.0,70.0
AG JEANS,Top,64.2,119.8
AGNONA,Top,358.8,754.0
AKRIS,Top,531.0,1202.5
ALAÏA,Top,548.5,1400.0
ALBERTA FERRETTI,Top,501.0,1002.5
ALEXACHUNG,Top,120.3170731707317,236.21951219512195
ALEXANDER MCQUEEN,Top,671.5714285714286,1432.142857142857
ALEXANDER WANG,Top,240.42857142857142,558.1904761904761
ALEXANDERWANG.T,Top,137.05357142857142,293.32142857142856
ALEXIS,Top,78.0,305.0
ALICE + OLIVIA,Top,150.63768115942028,324.0144927536232
ALICE McCALL,Top,119.27272727272727,258.6363636363636
ALIX,Top,96.46666666666667,183.33333333333334
ALL THINGS MOCHI,Top,50.0,170.0
ALTUZARRA,Top,256.14285714285717,592.1428571428571
AMANDA WAKELEY,Top,231.14285714285714,557.1428571428571
AMERICAN VINTAGE,Top,64.28571428571429,107.14285714285714
AMIRI,Top,296.2,609.0
ANINE BING,Top,56.0,112.0
ANN DEMEULEMEESTER,Top,317.65,699.6666666666666
ANNA OCTOBER,Top,273.0,530.0
ANNA QUAN,Top,156.625,350.3125
ANNA SUI,Top,233.2,497.57142857142856
ANTIK BATIK,Top,104.6896551724138,198.48275862068965
ANTONIO BERARDI,Top,288.6923076923077,601.4615384615385
APIECE APART,Top,128.0,265.0
ATLANTIQUE ASCOLI,Top,408.0,814.0
ATM ANTHONY THOMAS MELILLO,Top,65.0,130.0
ATTICO,Top,564.5,1080.0
AUTUMN CASHMERE,Top,139.77777777777777,246.0
BA&SH,Top,81.24,170.0
BAILEY 44,Top,98.86842105263158,190.0
BALENCIAGA,Top,684.0,977.2222222222222
BALMAIN,Top,608.5714285714286,1293.5714285714287
BASSIKE,Top,62.0,125.0
BAUM UND PFERDGARTEN,Top,94.84210526315789,183.0
BEAUFILLE,Top,181.33333333333334,439.1666666666667
BELSTAFF,Top,91.33333333333333,380.0
BEN TAVERNITI™ UNRAVEL PROJECT,Top,172.0,382.5
BORGO DE NOR,Top,178.0,435.0
BOTTEGA VENETA,Top,442.0,805.0
BOUTIQUE MOSCHINO,Top,205.6,412.0
BRANDON MAXWELL,Top,328.0,725.0
BROCK COLLECTION,Top,294.77777777777777,733.2222222222222
BRUNELLO CUCINELLI,Top,498.89772727272725,1178.2386363636363
BURBERRY,Top,355.0,591.6666666666666
BY MALENE BIRGER,Top,94.95833333333333,225.83333333333334
CALVIN KLEIN 205W39NYC,Top,366.3333333333333,745.0
CAMI NYC,Top,107.15789473684211,215.0
CAMILLA,Top,250.0,517.9545454545455
CAROLINA HERRERA,Top,390.2173913043478,1170.0
CAROLINE CONSTAS,Top,184.28571428571428,394.10714285714283
CARVEN,Top,204.0,400.0
CASASOLA,Top,362.0,725.0
CEDRIC CHARLIER,Top,177.94444444444446,369.44444444444446
CEFINN,Top,146.25,270.0
CHALAYAN,Top,214.58823529411765,524.2941176470588
CHAMPION,Top,51.30769230769231,73.38461538461539
CHARLI,Top,68.5,130.9090909090909
CHINTI AND PARKER,Top,109.58333333333333,230.41666666666666
CHLOÉ,Top,467.97777777777776,1260.6666666666667
CHRISTOPHER ESBER,Top,177.0,462.6666666666667
CHRISTOPHER KANE,Top,284.85714285714283,639.2857142857143
CINQ À SEPT,Top,151.32692307692307,330.4423076923077
CLAUDIE PIERLOT,Top,97.56521739130434,164.1304347826087
CLU,Top,136.28571428571428,271.42857142857144
CO,Top,282.4782608695652,602.4347826086956
COMMANDO,Top,48.0,95.0
COSABELLA,Top,71.0,142.0
COSTARELLOS,Top,299.5,600.0
COTTON CITIZEN,Top,99.0,198.33333333333334
COTTON by AUTUMN CASHMERE,Top,114.0,190.0
CURRENT/ELLIOTT,Top,97.0,221.71875
CUSHNIE,Top,282.39285714285717,677.7857142857143
DAVID KOMA,Top,431.3333333333333,1089.0
DE LA VALI,Top,175.33333333333334,350.0
DEITAS,Top,230.0,460.0
DELPOZO,Top,398.5,1216.6666666666667
DEREK LAM,Top,338.3888888888889,791.1111111111111
DEREK LAM 10 CROSBY,Top,122.31818181818181,319.45454545454544
DIANE VON FURSTENBERG,Top,164.0,336.10169491525426
DION LEE,Top,181.0,388.3333333333333
DKNY,Top,50.228070175438596,99.82456140350877
DL1961,Top,96.0,192.0
DODO BAR OR,Top,189.88888888888889,341.6666666666667
DOLCE & GABBANA,Top,538.71875,1141.84375
DOUBLE RAINBOUU,Top,96.8,203.0
DROMe,Top,110.0,500.0
EACH X OTHER,Top,171.0,475.5
ELIE TAHARI,Top,140.0,309.4
ELLERY,Top,279.3,581.5
EMILIA WICKSTEAD,Top,277.8333333333333,603.3333333333334
EMILIO PUCCI,Top,328.9868421052632,795.9868421052631
EMILIO de la MORENA,Top,168.0,559.0
ENZA COSTA,Top,71.94117647058823,185.23529411764707
EQUIPMENT,Top,151.15254237288136,338.52542372881356
ERDEM,Top,391.6,956.3333333333334
ESTEBAN CORTAZAR,Top,267.2,640.0
ETRO,Top,315.7368421052632,726.2631578947369
F.R.S. FOR RESTLESS SLEEPERS,Top,388.0,792.5
FAITH CONNEXION,Top,273.1,538.0
FENDI,Top,801.0,1529.0
FIGUE,Top,155.6153846153846,444.0769230769231
FILIPPA K,Top,80.21428571428571,171.25
FLEUR DU MAL,Top,126.6,291.4
FORTE_FORTE,Top,128.44444444444446,271.6666666666667
FRAME,Top,142.25316455696202,270.69620253164555
G. LABEL,Top,24.0,45.0
GABRIELA HEARST,Top,288.0,1150.0
GALVAN  London,Top,240.83333333333334,518.3333333333334
GANNI,Top,76.57142857142857,149.8
GARETH PUGH,Top,222.0,445.0
GENTRYPORTOFINO,Top,200.0,455.0
GEORGIA ALICE,Top,135.75,385.0
GIAMBATTISTA VALLI,Top,537.0416666666666,1354.4583333333333
GIORGIO ARMANI,Top,356.1666666666667,911.5
GIVENCHY,Top,727.5833333333334,1386.6666666666667
GOAT,Top,175.16666666666666,420.8333333333333
GOEN.J,Top,189.8,409.8666666666667
GREY JASON WU,Top,169.66666666666666,381.6666666666667
GUCCI,Top,606.0,1010.0
HAIDER ACKERMANN,Top,344.88461538461536,727.6538461538462
HALSTON HERITAGE,Top,121.0,296.0
HANEY,Top,525.0,1286.25
HATCH,Top,93.5,205.0
HAUTE HIPPIE,Top,175.66666666666666,431.6666666666667
HELLESSY,Top,463.0,983.3333333333334
HELMUT LANG,Top,127.23529411764706,291.5882352941176
HERVÉ LÉGER,Top,363.1,817.2
HILLIER BARTLEY,Top,417.5,835.0
HOUSE OF HOLLAND,Top,102.25,181.125
IRO,Top,128.79090909090908,289.59090909090907
ISABEL MARANT,Top,295.6666666666667,591.6666666666666
ISABEL MARANT ÉTOILE,Top,193.6,368.0
ISOLDA,Top,123.76923076923077,272.6923076923077
J BRAND,Top,130.5,261.6666666666667
J.CREW,Top,57.0,125.0
J.W.ANDERSON,Top,233.1,504.0
JAMES PERSE,Top,48.666666666666664,114.33333333333333
JASON WU,Top,327.42857142857144,789.4761904761905
JENNY PACKHAM,Top,578.3333333333334,1435.6666666666667
JIL SANDER,Top,298.7027027027027,748.7837837837837
JOHANNA ORTIZ,Top,400.0,922.6
JOIE,Top,125.4,256.70588235294116
JONATHAN SIMKHAI,Top,209.55555555555554,542.0
JOOSTRICOT,Top,210.0,420.0
JOSEPH,Top,152.95890410958904,330.47945205479454
JUNYA WATANABE COMME des GARÇONS,Top,155.0,310.0
JUST CAVALLI,Top,139.80769230769232,275.1923076923077
KAIN,Top,78.66666666666667,144.83333333333334
KATE SPADE New York,Top,124.70370370370371,263.962962962963
KENZO,Top,205.2,410.0
KHAITE,Top,281.1818181818182,567.2727272727273
KIKI DE MONTPARNASSE,Top,187.6,376.0
KITX,Top,158.66666666666666,320.4166666666667
KOCHÉ,Top,230.66666666666666,596.6666666666666
KSUBI,Top,78.0,142.14285714285714
L'AGENCE,Top,155.13333333333333,313.26666666666665
LA LIGNE,Top,108.81818181818181,224.54545454545453
LANVIN,Top,388.9166666666667,969.3055555555555
LE KASHA 1918,Top,167.66666666666666,335.6666666666667
LELA ROSE,Top,507.7142857142857,1084.7619047619048
LEMLEM,Top,108.5,278.0
LES HÉROÏNES by VANESSA COCCHIARO,Top,84.72727272727273,179.54545454545453
LINE,Top,94.5,172.5
LIVE THE PROCESS,Top,76.0,152.5
LNA,Top,44.5,88.0
LOEWE,Top,414.0,662.5
LOVE MOSCHINO,Top,92.94594594594595,192.2972972972973
LOVE SAM,Top,121.02777777777777,288.0833333333333
LOVER,Top,109.66666666666667,255.0
LOVESHACKFANCY,Top,62.0,146.0
M MISSONI,Top,188.68,397.36
M.I.H JEANS,Top,69.0,225.71428571428572
MACKINTOSH,Top,118.33333333333333,260.0
MAGDA BUTRYM,Top,363.4,724.0
MAGGIE MARILYN,Top,105.0,350.0
MAILLE CLU,Top,141.0,300.0
MAISON MARGIELA,Top,336.3333333333333,697.3333333333334
MAJE,Top,101.11363636363636,169.3181818181818
MAJESTIC FILATURES,Top,84.6923076923077,190.6153846153846
MANSUR GAVRIEL,Top,188.0,354.09090909090907
MARC JACOBS,Top,240.625,481.875
MARCHESA,Top,370.0,1235.0
MARCO DE VINCENZO,Top,186.0,553.3333333333334
MARISSA WEBB,Top,167.9090909090909,507.72727272727275
MARKUS LUPFER,Top,143.73684210526315,279.2105263157895
MARNI,Top,278.61176470588236,744.1529411764706
MARQUES' ALMEIDA,Top,170.3,393.0
MARY KATRANTZOU,Top,419.25,847.5
MASSCOB,Top,148.0,248.0
MATTHEW ADAMS DOLAN,Top,292.0,650.0
MAX MARA,Top,239.0,481.6666666666667
MDS STRIPES,Top,168.0,335.0
MERLETTE,Top,148.0,313.0
MES DEMOISELLES,Top,120.0,240.0
MICHAEL KORS COLLECTION,Top,265.5,736.4285714285714
MICHAEL LO SORDO,Top,163.5,343.75
MICHAEL MICHAEL KORS,Top,100.8076923076923,208.26923076923077
MICHELLE MASON,Top,180.63636363636363,417.27272727272725
MIGUELINA,Top,115.66666666666667,269.1666666666667
MIKAEL AGHAL,Top,225.0,490.0
MIKOH,Top,50.0,100.0
MILLY,Top,128.24528301886792,329.33962264150944
MISSONI,Top,251.3793103448276,607.5
MIU MIU,Top,438.25,887.9166666666666
MM6 MAISON MARGIELA,Top,217.16666666666666,412.5
MONIQUE LHUILLIER,Top,398.0,1320.0
MONROW,Top,72.8,141.2
MONSE,Top,630.0,1400.0
MOSCHINO,Top,246.0,484.5833333333333
MOTHER OF PEARL,Top,190.72727272727272,371.8181818181818
MSGM,Top,193.83333333333334,452.0
MUGLER,Top,310.3333333333333,617.6666666666666
MUUBAA,Top,252.0,505.0
McQ Alexander McQueen,Top,144.1875,278.125
NANUSHKA,Top,164.53846153846155,296.15384615384613
NARCISO RODRIGUEZ,Top,524.75,1263.75
NEEDLE & THREAD,Top,99.0,165.0
NICHOLAS,Top,144.2,314.0
NINA RICCI,Top,281.95652173913044,696.0869565217391
NINETY PERCENT,Top,48.130434782608695,80.21739130434783
NORMA KAMALI,Top,73.2,159.2
N°21,Top,139.0,310.0
OAK,Top,33.666666666666664,144.0
OFF-WHITE™,Top,588.0,980.0
OPENING CEREMONY,Top,107.0,233.75
OSCAR DE LA RENTA,Top,570.6315789473684,1539.7631578947369
OSMAN,Top,172.0,407.5
PACO RABANNE,Top,302.5,657.8571428571429
PAPER London,Top,80.16666666666667,220.83333333333334
PARADISED,Top,44.0,85.0
PAUL & JOE,Top,184.16666666666666,353.3333333333333
PERSEVERANCE,Top,145.22222222222223,260.55555555555554
PETAR PETROV,Top,389.5,787.5
PETER PILOTTO,Top,316.0,746.1111111111111
PETERSYN,Top,140.0,300.45454545454544
PETIT BATEAU,Top,28.6,56.666666666666664
PHILOSOPHY di LORENZO SERAFINI,Top,216.41666666666666,453.0
PIAZZA SEMPIONE,Top,187.38888888888889,488.72222222222223
PLACE NATIONALE,Top,88.0,290.0
PRABAL GURUNG,Top,354.25,708.75
PRADA,Top,483.2,754.0
PREEN LINE,Top,165.5,307.5
PREEN by THORNTON BREGAZZI,Top,335.7142857142857,759.2857142857143
PRINGLE OF SCOTLAND,Top,164.6,478.0
PROENZA SCHOULER,Top,270.8333333333333,605.8333333333334
PROENZA SCHOULER PSWL,Top,150.8181818181818,285.45454545454544
PUSHBUTTON,Top,197.4,412.3
R13,Top,194.4,389.5
RACHEL GILBERT,Top,255.66666666666666,618.3333333333334
RACHEL ZOE,Top,132.14285714285714,301.42857142857144
RACIL,Top,170.53333333333333,389.6666666666667
RAG & BONE,Top,98.58823529411765,215.14705882352942
RAOUL,Top,131.5,323.75
RAQUEL ALLEGRA,Top,187.375,380.5
RE/DONE,Top,86.2,177.4
REBECCA MINKOFF,Top,72.18181818181819,141.36363636363637
REBECCA TAYLOR,Top,144.75,316.5
REBECCA VALLANCE,Top,91.0,230.0
REDValentino,Top,210.01960784313727,455.20588235294116
REEM ACRA,Top,782.4,1955.0
REJINA PYO,Top,190.0,380.0
RICK OWENS,Top,375.56410256410254,790.6153846153846
RICK OWENS LILIES,Top,222.0,455.0
ROBERT RODRIGUEZ,Top,163.85714285714286,382.14285714285717
ROBERTO CAVALLI,Top,355.97222222222223,950.5277777777778
ROCHAS,Top,244.5,465.25
ROCKINS,Top,128.0,338.0
ROKH,Top,240.55555555555554,462.22222222222223
ROKSANDA,Top,366.7931034482759,788.1034482758621
ROLAND MOURET,Top,407.22222222222223,921.074074074074
ROSETTA GETTY,Top,331.27272727272725,796.5454545454545
ROSIE ASSOULIN,Top,530.2857142857143,1355.5357142857142
RTA,Top,117.16129032258064,270.03225806451616
SACHIN & BABI,Top,171.0,380.0
SAINT LAURENT,Top,691.1739130434783,1258.5217391304348
SALONI,Top,150.5,320.625
SANDRO,Top,103.12162162162163,172.02702702702703
SEA,Top,117.0,279.2857142857143
SEE BY CHLOÉ,Top,96.53846153846153,258.84615384615387
SELF-PORTRAIT,Top,163.8,280.0
SENSI STUDIO,Top,98.0,200.0
SHRIMPS,Top,154.0,275.0
SID NEIGUM,Top,146.1818181818182,307.72727272727275
SIES MARJAN,Top,331.6666666666667,691.6666666666666
SILVIA TCHERASSI,Top,302.0,605.0
SIMON MILLER,Top,158.75,317.5
SIMONE ROCHA,Top,248.07692307692307,505.0
SLEEPY JONES,Top,30.0,55.0
SOLACE LONDON,Top,167.57142857142858,325.0
SONIA RYKIEL,Top,226.6875,489.375
SPRWMN,Top,285.0,634.1666666666666
STAND STUDIO,Top,145.0,290.0
STELLA JEAN,Top,183.125,388.0416666666667
STELLA McCARTNEY,Top,283.1842105263158,631.8421052631579
SUNDRY,Top,91.33333333333333,183.33333333333334
TALITHA,Top,173.0,432.38461538461536
TART COLLECTIONS,Top,54.75,95.0
TEMPERLEY LONDON,Top,261.0,567.0555555555555
THE GREAT.,Top,68.5,137.5
THE RANGE,Top,78.33333333333333,147.16666666666666
THE ROW,Top,556.0,1390.0
THEORY,Top,127.21052631578948,284.2105263157895
THOM BROWNE,Top,471.3333333333333,1253.3333333333333
TIBI,Top,176.09722222222223,404.30555555555554
TOM FORD,Top,773.1666666666666,1862.5
TOMAS MAIER,Top,218.33333333333334,528.3333333333334
TOME,Top,202.65217391304347,490.4347826086956
TORY BURCH,Top,174.85714285714286,380.7142857142857
ULLA JOHNSON,Top,213.0,482.0
VALENTINO,Top,532.5384615384615,1462.3076923076924
VANESSA BRUNO,Top,148.23529411764707,327.3529411764706
VANESSA BRUNO ATHE',Top,42.0,170.0
VELVET by GRAHAM & SPENCER,Top,70.0,140.0
VERONICA BEARD,Top,163.5909090909091,371.1363636363636
VERSACE,Top,259.3333333333333,690.8333333333334
VERSACE COLLECTION,Top,391.2,816.0
VERSUS VERSACE,Top,133.4,256.6666666666667
VICTORIA BECKHAM,Top,399.3333333333333,857.5555555555555
"VICTORIA, VICTORIA BECKHAM",Top,189.0,377.7826086956522
VILSHENKO,Top,208.0,440.0
VINCE.,Top,155.609756097561,275.7317073170732
VIVIENNE WESTWOOD,Top,351.5,747.5
W118 by WALTER BAKER,Top,77.2,168.66666666666666
WALTER BAKER,Top,95.16666666666667,190.0
WILDFOX,Top,66.5,133.0
WOLFORD,Top,113.16666666666667,181.25
YUMMIE by HEATHER THOMSON,Top,21.0,33.0
ZAC POSEN,Top,361.0,785.0
ZIMMERMANN,Top,291.0112359550562,569.6067415730337
ZOE KARSSEN,Top,37.8,91.0
ZUHAIR MURAD,Top,1057.0,2350.0
byTIMO,Top,107.5,235.0
ÊTRE CÉCILE,Top,65.5,129.25
